KOG0619,7,4,Q8GYK0;Q0WL06;F4K682;O48705;O80809;Q5G5E0;Q9SSD1;Q9SFG3;Q9SKK2;Q9C6A7;Q9SVM5;Q8W4Q3;Q1PEN0;O49325;O64566;Q9SSM0;Q9LQ21;Q9SRL2;Q9FH86;Q9SJH6;O49327;Q9LRX1;Q9XID2;Q9FH56;O64757;Q9LS80;Q6Q4D0;F4HT77;Q9LJS2;Q5PP26;Q9C906;Q6NQP4;Q9LT39;Q8VYG9;Q70CT4;Q9LS79;Q9FHL8;Q9LJK6;O49328;F4HR92;Q9C6A6;Q9M9X0;Q9LXU5;Q9FFJ3;Q9C6A8;Q9C637;Q9SVW8;Q7FZR1;Q9ZT98;Q93YT3;F4HV48;Q00874;Q5G5D8;Q0WN16;Q9S9U3;Q9FW48;Q8RWE5;Q9FPJ5;O48763;Q9LP24;Q9ZUK3;O81455;Q9SRL7;Q9M2Y3;Q9CA41;Q0WVH1;Q8VZG8;Q9FW47;Q9FW49;Q9LRW9;Q9LRV8;Q9FL15;Q9M1B6;Q9SHI3;Q9C9H6;Q0WR58;Q9C9H7;Q9MA83;Q9SGN1;O48849;Q9SHU4;P0C895;Q9FJ11;Q9M9X1;Q9M0H5;Q8RX63;F4IHG3;Q8GZ49;Q8RWI2;Q9FLK9;Q9LJS0;Q9LUN3;Q9SN38;Q8RXQ6;O49329;Q9SHI4;Q0WRZ8;Q9C611;Q9SVN2;Q9C699;Q9LI76;Q9FK66;Q9SKK5;Q9LJW7,ZERO,G5EG78;G5EFP4;Q93373;Q93377;Q18902;Q9U3A0;Q09564;Q22075;P90920;Q23580;Q22187;Q1ENI8;O01764;Q9N4Z5;Q9N5D7;Q93177;Q7JPD6;Q93539;Q9N3F2;Q9XW74;Q9TZM3;O61967;O02329,G5EG78,Q8SXT3;Q9VJ07;Q9W2D7;Q9VR83;Q7JWP9;A0A0B4KHY2;Q9VZ84;Q9VKX6;Q8IH19;Q9VJQ0;Q95S21;Q9V430;Q9VJN8;Q9VQS3;X2JJX6;Q7KV24;Q9VHV2;Q9VBR3;A0A0B4KHK5;Q9W2J7;Q9VT89;Q6NR19;Q7JPR9;Q7JXU8;Q24386;Q0KHN6;Q9VDD5;A0A0B4LGB0;Q7K2X5;M9PFH7;Q9VDD4;Q9VAD1;Q5U1A7;Q9W3T9;A0A0B4KFU1;Q7KT58;Q9VBP0;Q6AWM0;Q9W128;X2JCD3;Q9VEH4;Q9W266;Q86PM1;M9MSI4;Q9VT44;Q2XY26;Q9V9V6;Q9VV09;Q8T3J2;Q9VK22;Q9VHV3;B6IDK2;Q9VZZ4;Q9W2U2;Q9BN18;Q8SZV5;D0IQL1;X2J6K6;Q9VE49,Q9VZZ4,E7FC34;F1QG51;F1QG52;I3ITI1;F1RE98;B8JKF3;F1R0N0;B8JIB3;F1R616;E7F6K4;Q1LXA7;H9GY03;E9QIH3;B0S5R7;B8A5X5;F1Q9H7;F1QCS9;E7EXY6;I3IS38;F1Q6F4;F1QPU8;E7F5U2;F1Q8K6;Q6GMI5;F1QPB1;F1R2G2;A8DZ86;E7FDN5;H9GYJ3;E7F9S2;E7F333;I7HJH4;M9MM99;E7EXM1;F1QHX4;A2BIH6;E7FFN8;F1QJU2;Q66HV9;F1RET9;F1R2H9;F1QRY7;F1QX89;F1R770;F1QBH8;Q1LV51;E7FF15;Q1L8Y7;F1Q7R2;E7F0F5;A4QNV9;E7F7W3;F1Q7V7;E9QF02;E7F965;Q15JE7;E7FBM0;F8W4D7;F1QFI1;F1R6B0;Q1ED19;F1QKB4;Q5RI43;F1QJY2;B8A5X4;B8JIN1;G1K2U4;F1R1Q4;F8W5N7;B0S5X0;A0JMK3;F1QJL6;E9QJJ1;E7F2A9;F1QGN1;F1Q881;F1QLW6;F1QRB0;F1QFS7;F1QR37;B8JLP1;E7FB87;F6P621;B8JKM0;A2CF42;Q6DHL5;F1Q983;Q5RI45;B3DK88;E7F3W2;B0R160;F1Q809;F1R0V0;E7FE43;F1QCU7;F1QA76;F6NL91;F1R6I3;A3KH16;E7FBW4;E7FEH0;E7FB32;E7FDK4;E7FBY6;F1QLS2;E7EZ70;E7FB25;Q5RHE5;F1R6G3;E9QCF6;B0S8K3;A5WVM1;F1Q7W4;E7F813;F1QK21;F1QVN0;F1QNH9;E7F1H8;E7FFB2;E7FE13;F1R8Q8;E7FB24;A2BF98;F1QVP4;A8BBJ2;Q4H4B6;F1RDG1;F1R478;E7EXH9;F1R2S9;F1QT78;E7EZ83;B0S5B5;F1Q726;F1RDW2;F1Q661;H9GZ54;A9JRH0;E7EXN8;E7FDP8;E7FC40;H9GXC4;E7FCW6;F1QY29,F1R6G3,A0A024R2R5;A0A024R4I8;A0A024R5I6;A0A024R5J7;A0A024R5J8;A0A024R870;A0A024R892;A0A024R971;A0A024R993;A0A024R9M3;A0A024RBC3;A0A0A8K8C7;A4D0T1;A4D1F6;A6NDA9;A6NIK2;A6NIV6;A6NM36;A6NM62;A8K0R3;Q86UN3;P14770;Q6WRI0;Q6P2D8;Q9BXN1;Q6NSJ5;P02750;Q8TDW0;Q9H756;Q7L1W4;P13224;Q9UFC0;Q96PE1;Q9HBL6;Q86YC3;Q6PEZ8;Q9HB75;Q9BTN0;Q50LG9;Q99983;Q8N7C0;Q9BZR6;Q6UXM1;Q6FH10;O43300;Q8N967;Q9P2V4;Q86VH4;Q6ZNQ3;P22792;P51888;Q13641;Q9P244;Q6UXK5;Q8WXD0;P23515;Q6P9F7;P07359;Q9ULH4;O14498;P21810;Q86UE6;Q9HBW1;Q5VT99;Q86VH5;Q8N6Y2;Q86X40;Q96CX6;O94769;Q96L50;Q9HCJ2;Q6UY18;Q7L985;Q9BXB1;Q68CR7;O60938;P51884;Q8IWK6;Q7Z5L7;Q9Y2L9;Q9UBM4;P35858;Q6EMK4;Q8N456;Q9Y4C4;Q8WUT4;Q5JU00;Q7Z2Q7;Q96DD0;Q96FE5;O60346;Q96NI6;Q38SD2;Q9HBX8;Q5BKY1;Q9UQ13;Q6UXK2;Q2I0M4;Q6ZSA7;Q9HBX9;J3KQU2;Q6NUI6;Q9NR99;Q86UN2;O15335;Q86SQ6,P21810;O94769;P51884;Q6NUI6,Q08817;P08678,ZERO,P14605;O94294,ZERO
KOG0061,7,1,Q9C8K2;Q8RWI9;Q9ZU35;Q9M2V6;Q9SW08;Q9FLX5;Q9LFG8;Q9MAG3;Q9ZUT0;Q9M3D6;Q93YS4;Q9SZR9;Q9M2V7;Q9SIT6;Q9MAH4;Q9FF46;Q7XA72;Q9SJK6;Q8RXN0;Q9C8J8;Q9FT51;O80946;Q9FNB5;Q9C6W5;Q3E9B8;Q9LK50;Q9M2V5;Q84TH5;Q9ZUU9,Q9M2V7;O80946,Q09466;H2L028;Q9U2D0;Q19585;Q52GX5;Q11180;Q18900;D7SFK1;D7SFK2;O16574,ZERO,A0A0B4LHB3;A2RVF0;P10090;P45843;Q9VL61;Q8SZF5;Q8T998;Q8IQ01;Q8MRL3;Q0KI14;Q8MRJ2;Q7YU52;Q8MQW6,ZERO,F1QCP3;F1Q5A7;B8JIM9;F1RC13;F1RDP4;B3DG12;F1QIU0;F1QJ06,ZERO,P45844;Q9H221;Q9H222,ZERO,Q08234;P25371;P51533,ZERO,P41820,ZERO
KOG1944,7,1,A0JQ86;F4JUP8;O82324;Q56WE5;Q5XEV3;Q93Z42;Q9C933;Q9FPH4;Q9LV46;Q9SJH9;Q9ZS51,ZERO,Q7YWV6;Q23508,ZERO,Q9VN75;Q9VTQ1;Q7KUN0;Q9V492;Q9VYD6;Q9W0B2;Q9VZM6;Q9XZT2,ZERO,Q66HU7;Q5TZ51;F1Q9Q6;Q6DGV7,ZERO,H3BT86;Q2QL34;Q9NR77;P39210,P39210,Q08743;Q06563,ZERO,Q10244;O14142,ZERO
KOG0852,7,1,Q96291;Q9C5R8,ZERO,H2KZL7,ZERO,X2JF59;Q9V3Q4;Q9VUM4;Q9VEJ0,ZERO,A2AWE1;A8E7G6;F1QSP8;Q6DGJ6,ZERO,V9HW12;V9HW63;P30048;Q06830,V9HW63,Q04120;P34760,ZERO,O74887;O42666,ZERO
KOG2650,7,1,Q9FGZ7,ZERO,G3MU29;Q9TZC6;Q9BL88;H2L0D7;G5EC13;H2L0K5;Q6A577,ZERO,Q9W475;Q9W478;Q8IGC4;Q9VL86;Q7JVX3;Q9VS65;Q9VX86;Q7JYV3;Q9VS66;Q9VS67;Q961J8;Q8SZR4;Q9VLZ1;Q9VLZ2;Q9VRZ3;Q0E9F9;Q9VS64,ZERO,Q6PHV5;F1QJN9;F1QVD7;F1QL16;F1QRY2;E7F897;B8JLQ9;E7F2H8,ZERO,A4D1M3;P15085;P15086;P15088;P48052;Q8IVL8;Q8N4T0;Q96IY4,Q96IY4,P38836,ZERO,O74818,ZERO
KOG0039,7,1,Q9SW17;O81210;O48538;F4I4K7;Q9FIJ0;Q9SUT8;Q9FLW2;Q8RWS6;Q9FJD6;Q8VY13;Q8W110;O81209;Q9SBI0;O81211;Q9FW50;P92949;Q9LZU9;Q3KTM0;Q9LMM2,ZERO,O01795;O61213,ZERO,Q9VQH2;A8DWJ8,ZERO,A7E3K4;E7EXL3;E7EYB2;E7F9M1;E7FDH6;E7FF50;E7FFA6;F1QVF2,ZERO,Q9Y5S8;P04839;X6RAN8;Q9HBY0;Q9NRD9;Q96PH1;Q9NPH5,Q9Y5S8,Q12209;Q3E804;P36033;P53746;P32791;P53109;Q12473;Q12333;Q08908,ZERO,O94727;Q04800,ZERO
KOG1844,7,1,Q7X6Y7;Q9T0B9;Q9ZUA9;Q9FMS5,Q9FMS5,Q9U2G8;Q95XE2;O76580,ZERO,Q8T0K2;Q9VGA4,ZERO,F1QYT0;E7F2Q3;E7FGC1,ZERO,A8MW92;Q8IZD2,ZERO,P36124;P42948,ZERO,Q10362;Q9P7P2,ZERO
KOG1651,7,1,P52032;Q9SZ54;Q8LBU2;O48646;Q9LYB4;O04922;Q8L910;O22850,ZERO,A8WFK6;H2KYJ6;O02621;Q9N5S2;Q9N2X2;Q95003;Q93204,ZERO,Q4V6H2;Q8IRD3,ZERO,Q503Y1;Q6DHK6;F8W4K8;Q5XJ48;F1QTD7;F8W5E1;Q66IE1;F1QNX6,ZERO,P36969;P22352;Q96SL4;P59796;P07203;P18283;V9HWN8;Q8TED1,P07203,P38143;P36014;P40581,ZERO,O59858,ZERO
KOG0544,7,1,Q8LGG0,ZERO,Q8I4E5,ZERO,P48375,ZERO,E7F2Q2;F1R3A6;Q6PBJ8;Q6PBJ1,ZERO,P68106;P62942;Q5VVH2;Q00688,P62942,P20081,ZERO,O42993,ZERO
KOG0880,7,1,Q9ASS6;P34791,ZERO,P52014,ZERO,Q9W227;Q540W6,ZERO,F6NLI6;H9GXB9,ZERO,P23284;P45877,P23284,P35176;P23285;P25334;P53728,ZERO,O94273,ZERO
KOG1581,7,1,O64503;Q6NM25;Q6NMB6;Q9M9S6,ZERO,Q8MXJ9,ZERO,Q9VEI3,ZERO,Q6P101,Q6P101,Q8TB61,ZERO,Q12520,ZERO,Q8WZJ9,ZERO
KOG1332,7,1,O64740;Q9SRI1,ZERO,Q9N4A7,ZERO,Q7KLW8,ZERO,Q7T2E1,Q7T2E1,P55735,ZERO,Q04491,ZERO,O94319,ZERO
KOG3017,6,1,Q6ID87;Q9SL82;Q9ZPG2;Q9XH05;Q9SL83;Q9SV22;Q9FKL1;Q1G401;Q39187;Q9M0C8;P33154;Q39186;Q9LJM5;Q9SF44;Q9SW04;Q9LPM6;Q9FJY1;O81889;O81888;Q9LPM7;Q9ZNS4;Q9SW05;Q9LZ12,ZERO,O61870;O76663;Q9N5N3;Q9XWX3;D3KFV3;O45790;Q9N3I3;Q9N5N4;Q93193;O16575;Q22421;O62507;O62508;G5EF50;Q18543;Q93192;Q95X90;B6EU60;Q19348;Q9XXP4;Q9TZ02;Q93444;Q17930;Q18539;Q18538;Q18540;Q22930;Q7YX44;Q93746;Q20609;Q93747;Q20608;Q966G4,ZERO,Q8IND6;Q9VFY2;A8DYC3;Q4V3Y4;Q8MRS1;Q9VGQ4;Q9W2H3;E1JI09;E1JJ70;A1Z959;A0A0B4KFH2;Q8T3W8;Q9W2H4;Q9VY18;A0A0B4JCT2;Q8IRL3;Q9VT82;Q9VIN6;A8WHB7;Q9VY19;Q86BQ2;A0A0B4LGE9;Q2PDZ4;Q7KU14;Q9W129;Q9VQA7;Q9VT84;M9MS11;M9MRN8;Q8INR8;Q9VI35,ZERO,H9GXN4;Q6PHC5;F1QAW7;E7F9U0;A2CF32;F1QW68;Q5XJ73;E7F689;E7FB91;F1QHW4;E7EZY0;Q7T141,ZERO,A0A024RD74;A5D8T8;Q9H3Y0;Q9H4G4;Q6UWM5;Q8NCF0;Q6UXB8;P48060;P54108;Q6UXF7;Q4G1C9;O43692;Q9H336;Q9H0B8;P54107,Q9H0B8,P36110;P47033;P47032,ZERO,NONE,NONE
KOG0773,6,1,Q9FPQ8;P46640;Q9FWS9;Q84JS6;O65685;Q9FXG8;P46639;Q9SW80;P48002;P48000;Q1PFD1;P48001;Q9SJ56;Q9SIW1;Q8S897;Q9SJJ3;Q38897;Q38874;Q94KL5;P48731;Q9LZM8,ZERO,Q93348;Q45EK2;Q0G825,ZERO,E1JHZ0;O46339;P54269;O01667;Q7K380;Q7JR08;Q9VPL4,ZERO,F1QA86;Q8AYN1;Q7SZP3;E7EZR8;Q6DEL0;E7FA93;A9UGK1;Q5I8Y1;Q90VY7;B0UXG1;Q9DDE0;Q1LWG1;E7FBG0;H9GY05;B3DKL9;Q90YX8;Q503Z8;Q803F0;Q90Z68;Q90ZE3;Q1LXU5;Q6NZU4;B3DH47;F1Q7T5,ZERO,A0A0A6YYL0;O00470;O14770;P78411;P78412;P78413;P78414;P78415;Q15583;Q8IUE0;Q8IUE1;Q8IYA7;Q96I87;Q96KN3;Q99687;Q9BZI1;Q9GZN2,Q8IYA7,P0CY08;P41817;P53147;P0CY13;P0CY09,ZERO,NONE,NONE
KOG0045,6,1,Q8RVL2,ZERO,Q9U2B2;Q22143;O18165;O44903;Q6F6K4;O02260;Q22036;Q9N4B2;G5EEZ6,ZERO,Q9VXH6;P27398;A8DYJ3;Q9VT65,ZERO,A5PMN9;A5PMP1;B8A6G0;E7F0H3;E7F7F1;E7F947;E7FAX5;E7FDN3;E9QFN0;F1Q7N2;F1Q9Z1;F1QI24;F1QL66;F1QQ89;F1QTM5;F1QW40;F1R0V4;F1R4X7;F1R632;F1R898;F1RCJ4;H9GX91;Q561U0;Q66HU4;Q6DFZ8,ZERO,Q9Y6Q1;Q6ZSI9;A8MX76;P17655;Q9HC96;P20807;O15484;O14815;Q9Y6W3;P07384;Q9UMQ6;A6NHC0;O75808;Q8N7X0,P07384,Q03792,ZERO,NONE,NONE
KOG0037,6,1,Q8W4L0;Q9ZQH1;Q9FYE4,ZERO,Q95Y96,ZERO,Q7K2L7,ZERO,B3DFQ1;F1QMK6;F1R4I7;Q1LYC9;Q6DC93;Q7T3D5,ZERO,Q6MZZ7;P04632;Q9UBV8;P28676;P30626;Q96L46;O75340,P04632,P53238,ZERO,NONE,NONE
KOG3344,5,1,Q9FFS8;Q9SW09;Q9LTF2,ZERO,NONE,NONE,M9NEQ9;Q9VB14,ZERO,Q7T1J9,ZERO,Q15149;P46783,Q15149,Q08745;Q3E7B5,ZERO,NONE,NONE
KOG0147,6,1,Q9ZVW9;Q93Y25,ZERO,Q9XTB5;Q9N368,ZERO,X2J523;Q7JRE4,ZERO,Q5TZH9;Q803H1;Q58ER0,ZERO,A0A024RBB9;A0A024RCZ1;Q14498;Q86U06,A0A024RBB9,NONE,NONE,O13845,ZERO
KOG2234,6,1,Q8GY97;Q9C5H6;F4JN00;Q8LES0;Q8LGE9,Q8LES0,O16658;O02345;O01879;Q93890;G5EBK5;Q95X47;O17106,ZERO,Q9VMU8;O76865,ZERO,B0V2R5;B3DIQ6;F1Q5Y0;F1QZ80;F1R3E4;Q90X48,ZERO,Q9Y2D2;P78382;Q9BS91;Q96G79;P78381,ZERO,NONE,NONE,P87041,ZERO
KOG0663,6,1,Q9FGW5;Q9CAG1,Q9FGW5,Q23357;Q09437,ZERO,D3PFF6;Q24294,ZERO,H9GXK1;F1QKU6,ZERO,Q9UQ88;J3QR44;Q15131,ZERO,NONE,NONE,O60145,ZERO
KOG1425,6,1,O22281;Q9FKN6,ZERO,Q93712,ZERO,Q9W062,ZERO,F1R9I6,ZERO,P55081,P55081,NONE,NONE,Q9P7H6,ZERO
KOG2608,6,1,Q9C7S7;Q7X9I4,ZERO,B7FAS8,ZERO,NONE,NONE,E7F2A8;F1QE18,ZERO,Q96HE7;Q86YB8,Q96HE7;Q86YB8,Q03103,ZERO,O74401;Q9Y7P1,ZERO
KOG1386,6,1,O80612;Q6NQA8;F4JSH1;Q8H1D8;Q9XI62,O80612;F4JSH1,Q21815,ZERO,NONE,NONE,E7FG27;F1QCU4;F1QSE5;F1RDI7;Q6DH30;Q6ZM69,ZERO,O75355;Q9Y227;P49961;Q5MY95;Q9NQZ7;Q9Y5L3,ZERO,P40009,ZERO,Q9USP2,ZERO
KOG1131,6,1,Q8W4M7,ZERO,Q9N3L2;Q7YZG6,ZERO,NONE,NONE,F1Q5E7,ZERO,P18074,P18074,P06839,ZERO,P26659,ZERO
KOG3369,6,1,Q9LZ97,ZERO,Q20100,ZERO,NONE,NONE,F1QNE7,ZERO,Q9Y296,Q9Y296,Q3E763,ZERO,O43041,ZERO
KOG0934,6,1,Q8LEZ8;O82201;O23685,ZERO,NONE,NONE,Q9VCF4,ZERO,K9J6Q2;H9GYL7;Q66IE3;E9QFV3;F1R9I2;Q6NSP1,Q6NSP1,A0A024QYT6;Q9Y587;Q549M9;Q96PC3,ZERO,P35181,ZERO,Q9P7N2,ZERO
KOG1985,6,1,Q9SFU0;Q9ZQH3,ZERO,NONE,NONE,A0A0B4LEK8,ZERO,E7FAP3;F1R9P2;F1R3A4;E7F715,F1R3A4,A0A024QZM6;O94855;O95486;O95487,ZERO,P38810;P53953;P40482,ZERO,Q9USS7;Q9UUI5,ZERO
KOG0853,6,1,Q8LPF7;Q9FX32;Q67Z55;Q8RY24;Q9LXL5;Q9FY54;Q7Y217;P49040;Q9SSP6;Q00917;Q94BT0;Q9M111;Q9LSB5;F4JLK2;F4K5W8,Q9FY54,NONE,NONE,Q9VZU8,ZERO,F1QPS1,ZERO,A0A024R184,ZERO,P43636,ZERO,Q96WW6,ZERO
KOG0985,6,1,Q0WLB5;Q0WNJ6,ZERO,NONE,NONE,P29742,P29742,E7FBE5;E9QG93;F1QUJ2;F1QZU8;F1R966,ZERO,Q8NHS4;Q00610,ZERO,P22137,ZERO,Q10161,ZERO
KOG2742,6,2,Q8RWP0,ZERO,NONE,NONE,Q9Y153,ZERO,E7FCE9;F1R1S8,F1R1S8,Q9NXC2;Q3B7J2,Q3B7J2,Q04869,ZERO,O42896;O13991,ZERO
KOG0161,6,2,NONE,NONE,O62244;P12845;Q21000;P12844;Q20641;G5EBY3;Q17383;Q9XWR0,ZERO,Q8INC1;E1JHJ5;A4V1N8;A0A0B4JD57,ZERO,E9QBS6;E9QBA6;F8W3L6;F1QAQ4;E7F632;E9QF07;F1Q9G9;E7F5Z1;F1QYX4;B3DFS9;B8A561;E7FAD0;E7EY02;B6IDE1;F1QKS0;F1Q5K4;F1QIR4;B8A569;E7FD18;F1QVX3;E7F800;F1R6C7;E7FCI5;F1QT88;E9QGP5;E7EYA7;B8JLS3;F1QJK4;B6IDE0;E9QHL6;Q6IQX1;F1QXH0;E7FE29;F1R3G4;E7FAW6;E7FGF6;F1QL01;F1Q4R7;F1QZW1;E7F522;F8W5N1;H9GY99;F1R2X0;E7F894;E9QGC3;E7EYL7,F8W3L6,A0A024R1N1;A0A075B6F5;A0A0C4DFM8;A7E2Y1;P35749;P35580;P12883;P13535;P13533;Q9Y623;Q9UKX2;P12882;Q9UKX3;Q9Y2K3;Q9ULV0;Q9Y4I1;Q92614;Q9NQX4,P35749,P19524;P08964;P32492,ZERO,O14157;Q9USI6;O74805;O94477,ZERO
KOG3525,6,0,NONE,NONE,P91863;G5ECN9;O17798,ZERO,E1JJL5;F0JAG0;Q9UAE7,ZERO,F1QQ43;F1QIU9;A2BHH6;F1R6D4;B6VCA1;F1R7T7;F1QWV9;F1R440;F1QKU2;F1R027;E7F7S3;E7F2Y8,ZERO,A0A024RC70;Q9BXY4;Q92824;P16519;Q2MKA7;P29120;Q6UW60;Q16549;Q2I0M5,ZERO,P13134,ZERO,Q09175,ZERO
KOG0164,6,1,NONE,NONE,G5ECZ0;Q19901,ZERO,Q23979;Q8T6L7;M9MRS7,ZERO,A0A0H2UKD8;E7F5R7;E7F9L8;E7FDV0;E7FGI1;F1Q5Y1;F1QJK0;F1QKT3;F1R360;F1R617,ZERO,O94832;Q9UBC5;Q4KMR3;O00160;O00159;B0I1T2;B0I1S9;Q8N1T3,Q4KMR3,Q04439;P36006,ZERO,Q9Y7Z8,ZERO
KOG1014,6,1,NONE,NONE,Q11177;O17795;O16925;Q17703;C1P622;Q17704;Q10130,ZERO,Q9W3N1;Q9VJG8;Q8INZ8;Q8SX47;Q86BQ3,ZERO,A2BFP6;A5WWC6;Q6QA33;Q6P3L6,ZERO,Q6FH62;Q3SXM5;Q53GQ0,Q53GQ0,P38286,ZERO,Q10245,ZERO
KOG2392,5,2,Q9SYD5;Q9SH52;F4HX47;O48706;Q9SIR9;Q4PSX8;Q9C8T2;Q9S7T8;Q9ZQR6;O82283;Q4PSX9;O04582;Q9M1T7,ZERO,Q19651;Q18287;G5EFH4;G5EE40;G5ECY2;O01564;Q9XUS1;O62309;O16959;A9Z1L1,ZERO,Q8MSJ4;A1Z6R4;Q9VA48;Q9VII7;A0A0B4KF64;Q9VLU4;Q9VLV3;Q8T0M5;Q3HKQ3;Q6V6U6;Q8SYY7;Q7YTY6;Q9VFC1;Q9U1I4;Q7KA66;Q9VL44;Q9VLZ8;A0A0B4K6Q4;Q9VWB4;Q9VPH9;Q7K508;Q9V3N1;Q4V3G2;Q9VVW1;Q0E8V6;Q7JV69;Q9VH46,ZERO,F1QRB8;F1R7D6;Q6DG30;F8W412;F8W5D3;Q8JH29;F8W5C3;E7EXC4;B3DJI9;B0UYL8;F1QV84;F1RBV7;E7F3Z2;F1R9A9;F1QEV1;F1RAP6;F1Q853;Q66I20;F8W3S9;Q5RIH8;H9GXC3;F8W298;B0V3R7;F1R7F7;Q7ZVL5;F1QHG3;F1QQ30;Q5RIK7;Q8AYE3;A8WFU6,F1R7F7;F1QQ30;A8WFU6,A0A024QYT5;A0A024QZT4;A0A024QZX3;A0A024R2B1;A0A024R2B6;A0A024R5K8;A0A024R6I6;A0A024R6I9;A0A024R6N9;A0A024R6P0;A0A024R944;A8MTL9;A8MV23;B0ZBE2;E9KL23;E9KL26;P48595;P05543;Q99574;P48594;P29508;Q8IW75;P08697;P05120;Q96P63;P07093;Q86WD7;O75830;O75635;P36955;Q9UIV8;P05546;V9HWH1;P08185;Q86U17,A0A024R2B6;A0A024R5K8;B0ZBE2;P08697,NONE,NONE,NONE,NONE
KOG1840,5,1,Q9LII8;O81629;F4K786;Q9FZI6;Q5XEY4;Q8VZQ8,ZERO,Q9XW00,ZERO,M9PGT5;Q8SYD0;M9PFG7,ZERO,Q6NY32;A4IG65;P0CI65;F1QF34;Q08CF1,ZERO,A0A024QZ47;A0A024R0V3;A0A024RD83;E7EVH7;Q07866;Q9H0B6;Q9NSK0;Q7Z494,Q7Z494,NONE,NONE,NONE,NONE
KOG1543,5,2,Q9LT78;P43297;Q9FMH8;Q9LT77;Q9LXW3;Q8H166;Q9LFI9;Q93VC9;Q9LP39;Q9STL5;F4HZW2;Q9LFJ5;O81748;Q8RWQ9;Q9SUT0;Q9LNC1;Q84W75;Q9STL4;Q9FGR9;Q9FJ47;Q9LM66;Q0WVJ5;O22961;Q9ZQH7;Q9LFJ0;O65493;Q9SUS9;Q9SIE8;O23681;Q9SG15;Q9ZSI0;Q9LR55;Q94B08,ZERO,Q2AAB9;O17255;P43510;Q9U2X1;P43509;O45466;P92005;P43507;Q18740;Q9XWA4;P43508;P91991;Q2AAC0;Q20950;Q9BL26;P25807;Q9XXQ7;Q93512;P91110,ZERO,A0A0B4JD48;Q9VY87;Q9VNK6;Q9VKY4;A1ZAU4;Q7JYA0;Q7K0S6;A1Z9I0;A1ZBK7,ZERO,F1QCP8;Q6PH75;E7F8G1;Q1L8W8;F1R8Y0;F1Q8A0;A7MCR8;E7F8Y7;F1R7B3;F1R4G6;A8E588;F1QGP6;Q1L8P5;E7F2B2;F1QL40;A2BEM8;F1RDQ9;A5WVL6;Q502A6;A7MCR6;E9QE79;Q6DHT0;A7MCR7;Q1L8P4;F1R8R0;E9QBE2;A2BF64;F1R9W6;F1QFZ9;E7F1S2;F1QZT5,Q1L8W8;Q502A6;A2BF64,A0A024R141;A0A024R276;A0A024R374;P43235;P09668;P53634;Q9UBR2;P25774,P43235;P25774,NONE,NONE,NONE,NONE
KOG1565,5,2,Q9ZUJ5;O23507;Q5XF51;O04529;Q8GWW6,ZERO,G5EBU3;Q23227;G5ECC4;G5EGM1;O17913;O44836,ZERO,Q9GTK3;Q5BIL2,ZERO,F1QWE5;E7FFU0;F1R4H1;E7FFQ4;E7FF88;E9QIX9;E7FGL6;E7F3C3;Q6PHG2;E7F2I8;F1R0R0;F1QFZ8;E7F875;E7F1N5;F1R3P5;E7F9I3;F1QBU4;E7FBB0;E7F6G8;H9GYR2;B0R0I1;F1R8N4;Q6DG10;E7F6P2;E7FCZ5;B8JMI5;I3IT28;F1RA45;F1QAB4;E7FC41;F1Q899;F1QC76;E7F0Y6;F1RBI6,F1QC76,A0A024R6R4;A0A024R6U8;D9ZGG2;H0YJW9;O60882;O75900;P02790;P03956;P08254;P09237;P09238;P14780;P22894;P24347;P39900;P45452;P50281;P51512;Q075Z2;Q8N119;Q92954;Q96BH3;Q99542;Q9H306;Q9NPA2;Q9NRE1;Q9ULZ9;Q9Y5R2,D9ZGG2;O60882;P03956;P08254;P09237;P09238;P14780;P22894;P24347;P39900;P45452;P50281;P51512;Q99542,NONE,NONE,NONE,NONE
KOG0819,5,1,Q9LX08;Q9C9X3;Q9SYT0;Q9SE45;Q9XEE2;Q9LX07;Q94CK4;Q9ZVJ6,ZERO,Q27473;P91144;Q27512,ZERO,P22465;A0A0B4KH34;Q9VXG4,ZERO,Q5U369;F1Q9R1;A8E5G1;Q6P0V8;Q804G7;B8JLZ3;Q6P603;A2BHN0;F1R6N3;F1QUZ1;B8A4V2;Q804H2;F1QKN3;A8E7L0;F1REH8;Q5XJM0;Q804H0,ZERO,A0A075B752;O76027;P07355;P08133;P12429;P13928;P20073;P27216;P50995;Q5TZZ9;V9HWE0;Q6LES2;Q9UJ72,P07355,NONE,NONE,NONE,NONE
KOG1225,3,0,Q67ZD0,ZERO,Q22913;O16265;Q564Y0;P34293,ZERO,NONE,NONE,NONE,NONE,Q9NT68,ZERO,NONE,NONE,NONE,NONE
KOG1306,5,0,O22252,ZERO,G5ECW0,ZERO,A0A0B4K790,ZERO,F1QA32;B8JHS8;F1QN77;B2CZC4;Q32SG8;A4UQV6;Q32SG7;D7PS91;B6IDE7;H9GYC8,ZERO,Q9UPR5;P57103;P32418,ZERO,NONE,NONE,NONE,NONE
