KOG1213,7,5,Q8W1Y0;Q9S7T7;Q9FQ19;Q9FQ20,Q9S7T7,Q21306;Q19325,Q21306;Q19325,A0A021WW32,ZERO,Q1L8E1;F1QKC8;A0JMM5;B8JLA8,ZERO,A0A024R9J0;Q9H4I0,Q9H4I0,Q12158;Q12188,Q12188,P36626;P30776,P36626,
KOG2698,7,1,Q9SFV7,ZERO,Q19980,Q19980,P48596,ZERO,E7FGQ8;Q6IQV5,ZERO,A0A024R642,ZERO,P51601,ZERO,O13774,ZERO,
KOG3479,7,2,Q9XGX9,Q9XGX9,Q17754,Q17754,Q9Y0V3;X2JEU5,ZERO,F1QR63;E7FC78,ZERO,A0A024R648;B2R4A9,ZERO,O74700,ZERO,Q9P7K0,ZERO,
KOG3396,7,1,Q9LFU9,ZERO,Q17427;G5EC27,G5EC27,C6TP98,ZERO,Q4VBJ4,ZERO,A0A024R649,ZERO,P43577,ZERO,O13738,ZERO,
KOG0937,7,1,Q8W0Z6;Q9SAC9;Q9SB50;O22715,ZERO,O01755;P35603,O01755,O62531,ZERO,H9GXB2;E7FBU8;Q6NWK2;F1Q9V1;Q7SZZ7;F1Q5F9;F1R3L9;F1Q997,ZERO,A0A024R654;O00189;Q9BXS5;Q96CW1;Q9Y6Q5,ZERO,P38700;Q00776;Q99186,ZERO,Q09718;Q9HFE5,ZERO,
KOG1677,7,3,B6EUC4;Q9C7P1;Q9C7P4;Q9LT81;Q3ECU8;Q5PP65;B3H4R4;Q9LQM3;Q9C9F5;O48772;Q8L7S3;Q8GXX7;Q8L7N8;Q9STM4;Q9C9N3;Q5RJC5;Q6NPN3;Q94AD9;Q84W91;Q9SQU4,ZERO,O18251;Q9U2V4;Q9U2V1;Q9XV46;O45289;G5EF15;Q9U2V2;O45491;O45493;Q9U1Y2;O02289;Q20155,O18251;Q9XV46;O02289,P47980,ZERO,Q9PU62;E7F3S4;F1RCP3;H9GXF3;Q6P3H0;F1QU82;F1QH59,ZERO,A0A024R658;P47974,A0A024R658,P47976;P47977,ZERO,P47979,P47979,
KOG0101,7,2,Q9LHA8;O65719;P22953;P22954;Q9SKY8;Q9S9N1;Q9C7X7,ZERO,O45246;Q20752;G5EC99,ZERO,Q7JQR9;Q9BIR7;Q9BIS2;Q9VG58;O97125;P29844;Q9VSI1;P82910;Q8INI8;P11146;C7LA75;P02825,ZERO,Q0R4G9;Q5RGE6;F1R8V0;F1R9V3;B0UXR9;B0S610;F1Q8K1;Q6P3L3;Q6PGX4;F1RCH9;Q6PH56;Q6NYR4;B0UXS6,ZERO,A0A024R6B5;A8K5I0;O43301;P0DMV8;P17066;P34931;P48723;Q0VDF9;Q53FA3;Q96MM6;V9HWB4;V9HW22,A0A024R6B5;P34931,P10591;P09435;P10592;P40150;P22202;P38788;P16474;P11484,P16474,O59855;Q10284;P87142;P36604;Q10265,ZERO,
KOG1385,7,1,Q9SPM5;Q9SQG2,Q9SQG2,Q9XU84,ZERO,Q9VQI8,ZERO,E7F8A7;E9QI88;F1R4L9,ZERO,A0A024R6D3;O75354,ZERO,P32621,ZERO,Q9UT35,ZERO,
KOG0106,7,1,P92965;P92964;P92966;Q9ZPX8,ZERO,Q23120;Q10021,Q23120;Q10021,P26686,ZERO,Q6TGT9;Q802Y1;E7FFF7;A8DZG2,ZERO,A0A024R6D8;Q08170;Q13247,ZERO,Q01560,ZERO,P78814,ZERO,
KOG1135,7,2,Q9LKF9,Q9LKF9,O17403,O17403,Q9V3D6,ZERO,F1QVV4,ZERO,A0A024R6H0,ZERO,Q12102,ZERO,O74740,ZERO,
KOG2294,7,5,Q9SFV2;Q9SFV6,Q9SFV2,O17617;Q10924;Q21187;E9P8A1;Q22510;P91278;O16850;H2KZ39;Q19802;Q18694,Q10924;P91278;Q18694,Q9U1H1;Q02361;Q9XTP7;Q9W5X5;Q53YH1;D3PFH7;M9PF47;Q8SZ95;A0A0B4KGN1;Q8SX31;Q9V481;Q9VS05;P32030,ZERO,A3RK75;B3DGC2;F1R8Z9;A2CE80;E7F8H3;E7FFM9;Q566W3;A4IGC7;Q1LWZ9;F1R5S7;B0UXI2;F1R4K6;A1L1S5;A2CEM5;Q5I0F7;B0UXI3;E7FA97;Q568V0;F1QME9;E7F138;F1R3E6;Q5TYS1;F1QHL6;Q1JPV2;F6PES3;E7F6L1;Q5H7C2;F1R9K2;A2BGM5;K7DY44;E7FER3;B3DHP4;A0A0A0MPK6;F1R746;Q1LVK4;F1R6J3;F1QUF0;F1QJW8;F1QRF9;A7MBX0;E7F234;Q9DE25;Q6NY62;E7EZ33;E7FCL5;F1QZ26;B0R0B2;Q9DE24;Q6NW50;Q7SYM1;F1RES1,ZERO,A0A024R6I1;A0A024R8P1;A0A0A1EII5;A6NCE0;E0XEN6;O00358;Q6ZQN5;P55316;Q99958;O43638;P85037;Q12946;P98177;Q01167;Q12778;O15353;Q9NU39;Q12952;Q12947;Q12950;Q53ZD3;Q6PIV2;Q6PJQ5;P32314;O75593;Q08050;Q9P0K8;Q96NZ1;Q8WXT5;Q5VV16;Q9C009;Q6VB84;Q9UPW0;Q9UJU5;O60548;W6CJ52;O43524,Q12947;Q53ZD3;Q9UJU5;W6CJ52;O43524,P25364;P40466;P41813;P39521,P40466,O13606;O14270;O43058;O60129,O13606,
KOG0834,7,2,Q8LBC0;Q56YF8;Q8GYM6;Q9FKE6;Q9C8P7,Q9FKE6,O17869;P34424,O17869,Q961D1;O96433,ZERO,Q5RGW5;F1RCE1;Q803Q8;B8A521;Q802D2,ZERO,A0A024R6K1;O60583;O60563;Q8N1B3,ZERO,P46962,ZERO,O74627;O59748,ZERO,
KOG2245,7,1,O82312;Q8VYW1;Q56XM9;Q9LMT2,Q9LMT2,Q09995;G5EBX5,ZERO,Q9NDU2,ZERO,Q5SNY2;A2BGL0,ZERO,A0A024R6M3;A4D1Z6;Q9BWT3,ZERO,P29468,ZERO,Q10295,ZERO,
KOG2915,7,1,Q84K50,ZERO,G5EGR8,G5EGR8,Q9VBH7,ZERO,F1QTY5,ZERO,A0A024R6Q2;Q9BVS5,ZERO,P46959,ZERO,O14307,ZERO,
KOG0054,7,2,Q7FB56;Q9C8H1;Q8LGU1;Q9M1C7;Q7GB25;Q9LK62;Q42093;Q9LK64;Q9FVV9;Q8VZZ4;Q7DM58;Q9C8H0;Q9LYS2;Q9LZJ5;Q9C8G9;Q9SKX0,ZERO,Q9U2G5;Q20943;Q9XW61;Q95QV2;Q19625;G5EFP3;Q19048;Q3S1M2,Q19625,X2JAE9;P91660;Q9VC63;Q9VAN4;Q9VJ21;Q8T9B5;Q7YU06;Q9W2I5;Q961D3;Q9VLP5;Q7KTB7;Q9VDT3;Q9VLN6,ZERO,F1QMZ9;F1QYP8;F1QIK5;Q1LX78;E7F961;E7FAV3;Q5RH87;E7F108;F1QMR4;F1RBZ7;F1R4U2;E7F3T8;E7FFF1;E7F118;E7EYG0;E7F872,ZERO,A0A024R6Q6;A0A024R730;A0A024RD21;O15438;O15439;O15440;O60706;O95255;P33527;Q09428;Q92887;Q96J65,A0A024R730,P53049;P14772;P0CE68;P39109;P0CE69;P38735;P32386,ZERO,Q92337;Q10185;Q9P5N0;Q9P7V2,ZERO,
KOG2069,7,1,Q84K25,ZERO,O44502,O44502,Q9VKH0,ZERO,F1R2K6,ZERO,A0A024R6Z6;H3BMQ9;H3BUN2,ZERO,Q04632,ZERO,Q96WW5,ZERO,
KOG2081,7,1,Q8GUL2,ZERO,O17244,O17244,Q9VQG0;A1ZAR6,ZERO,Q7ZW13,ZERO,A0A024R794,ZERO,Q99189,ZERO,Q9USZ2,ZERO,
KOG1577,7,1,Q9SJV1;Q0PGJ6;Q9M338;Q84TF0;Q9FJK0;Q9SJV2;Q1PFI5;Q8GXW0;O80944;Q9SXC0,ZERO,Q23320;Q17568;Q9NAI5;Q09632;P91997;Q9U2J5;Q22352;P91020;P91021;Q21274;Q18903;P91998;Q18483,ZERO,Q9VTY2;Q9VTL0;M9PI17;D2A6K3;Q7JVH6;Q9VZK8;Q9Y112,ZERO,Q5XJM7;F1R3J0;F1REQ2;Q5RH67;F1QJ97;A8DZH9;Q6AZW2,ZERO,A0A024R7A8;C9JRZ8;O60218;P17516;P42330;P51857;P52895;Q04828;Q96JD6;V9HWI0,A0A024R7A8;P42330,Q12458;P38715;P47137;Q07551;P14065;P38115,ZERO,Q9C1X5;O42888;Q10494;O13848;Q9USV2;O14088,ZERO,
KOG1624,7,1,Q3EDH2;Q8VY61,ZERO,O17005,O17005,Q9V3D0,ZERO,Q503X2,ZERO,A0A024R7C5,ZERO,P51998,ZERO,O74801,ZERO,
KOG3265,7,1,Q9C9M6;Q9LS09,ZERO,Q17603;Q19326,Q17603;Q19326,Q9V464,ZERO,Q6NY34,ZERO,A0A024R7G4;Q9Y294,ZERO,P32447,ZERO,O74515,ZERO,
KOG0078,7,3,O24466;P28186;Q9FJF1;Q9LZD4;Q9LFG1;Q9SF91,ZERO,G5EFC1;Q21137;Q22908;Q9XWR6,G5EFC1,M9NEE8;O15971;Q95RQ2;Q9VC31,ZERO,A5WW21;E9QDA3;Q6DI36;E7EYJ1;Q6DGV5;F1QBN3;Q1RLP4;B8JLE6;Q7T3A4;F1QAX4;F1QKK3;A5PLC7;Q502Q0,ZERO,A0A024R7I3;P51153;Q6IQ22;Q8IZ41;Q7Z6P3;P0C0E4;P51157;P61026;Q96S21;Q12829;Q8WXH6;P59190;Q92930,P51153,P07560,P07560,P17609,ZERO,
KOG0752,7,1,Q9SUV1;O65023;Q9FI73;O04619;Q9C9R4;Q9M058;Q9LV81;Q8W4M2;Q9LIF7;Q9M024;Q9SZI9;Q8L7R0;Q9MA27;Q9LJX5,Q9SUV1,Q93717,ZERO,Q8IN53;Q7K0L7;Q9W0Y9,ZERO,B8A698;F1RC39;F1QYQ5;F1R6D9,ZERO,A0A024R7K2;Q5JPC1;Q8WUT9,ZERO,Q12251;P38702;P53257,ZERO,O13805;O94370;Q8TFH2,ZERO,
KOG1802,7,1,Q9FJR0,ZERO,O76512,O76512,X2JBC1,ZERO,F1RCY6,ZERO,A0A024R7L5,ZERO,P30771;P32644,ZERO,Q09820,ZERO,
KOG0001,7,4,Q3E7T8;P0CH32;Q9SYF4;Q8H159;Q9SV28;P0CH33;Q9ZV63;Q9M0W4;Q39256;Q9M0X1;Q9ZPY9;Q9FHQ6;Q9SHE7;Q9ZQZ6;Q9SYF1;Q56WS3;Q9ZQZ4;Q1EC66;Q9M0X2;Q9FY81;Q9ZT95;Q9ZT93;Q9M0W9;Q9ZQZ5;Q9M0X0;Q7GAQ5;Q9SYE9;Q9M0W8;Q3E7K8;Q8RUC6;Q9FNF8,Q9SHE7;Q9ZQZ6,O44803;O44821;O44820;O44819;P91053;P91052;P91050;P91056;P91057,O44820;P91057,Q7JPZ2;Q9VEC8;R9PY16,ZERO,F1Q818;A2BHB8;F1QHN6;Q7ZWB2;B0R193;B8A682;F1RA98,ZERO,A0A024R7V9;A0A0G2JH67;O15205;P11441;P0CG48;P05161;P00973;Q9Y6K5;P62861;Q15646;P29728;Q5U5U6;Q8N7F7,ZERO,P0CG63,P0CG63,P0CG72,P0CG72,
KOG2381,7,1,Q9FXC9;Q9C671;Q9LXW4;O22199;Q8W4R8;Q9SI52;Q0WMZ6;Q9SXC6,ZERO,O45318;Q23083,O45318,Q8I0B7,ZERO,F1QWW5;Q6PE18,ZERO,E9PAM4;Q8TCG2;Q9BTU6,ZERO,P42951,ZERO,Q9UT42,ZERO,
KOG3473,7,1,Q9FIG0,ZERO,Q9BKS1;Q23153;B1Q256,Q9BKS1,Q7KYI0,ZERO,Q502M9;Q66IB1,ZERO,A0A024R7Y5,ZERO,Q03071,ZERO,Q9USX9,ZERO,
KOG3386,7,2,Q9FGU8;Q8GWP3;Q93VM8;Q39065;Q8SAA5;Q9STG2,Q39065,Q6BEW1;D6RYD3;Q21009;A4V4W6;Q5CZ44;Q19100;C6S3L5;Q19936,Q6BEW1,Q9VA22;Q9VHS6;Q8MQM5,ZERO,E9QC64;F1QKH1,ZERO,A0A024R824;Q53X94,ZERO,Q06686;Q3E815,ZERO,Q9USV7;O94722;Q9P7F9,ZERO,
KOG0254,7,3,Q93YP9;Q9FRL3;Q9FMX3;Q8VZR6;Q8VZ80;Q94CI7;Q39228;Q9C757;Q9SX48;Q8GXR2;Q8LPQ8;P93051;Q8LBI9;Q8L7R8;Q96290;Q9LNV3;O04036;O04249;Q9M0Z9;Q8L6Z8;Q0WWW9;Q0WQ63;Q9SBA7;Q9SCW7;Q94KE0;P23586;Q94CI6;Q94AZ2;Q94AF9;Q9LTP6;Q9XIH6;Q93Y91;Q8GW61;Q9ZQP6;Q93Z80;Q9XIH7;Q56ZZ7;Q9LT15;Q8VZT3;Q9SFG0;Q9SD00;Q9ZNS0;Q2V4B9;Q4F7G0;Q9FYG3;Q7XA64;Q3ECP7;Q0WUU6;Q8GXK5;O23492;O65413;Q0WVE9;Q6AWX0,Q8L6Z8,O45920;Q95QY6;O16547;G5EC93;Q9XXR3;Q9XXQ9;Q11114,ZERO,Q8MKK4;A1Z8N1;Q7JVN6;Q9VQP0;A8JQU1;Q9VI78;Q9W3S8;Q8SZ00;Q7KSZ3;Q9W1J2;P53403;Q9VU17;A0A0B4KEF1;M9MS27;Q7K2U8;Q86P11;Q9VT78;Q9VT79;Q8IQE0;Q9VQN6;Q9VQN9;Q8IPZ9;Q9VQP2;Q9VQP1;Q9VEW7;Q9VEW9;Q7K3P6,ZERO,E7F9E1;F1R0H0;H9GXB6;Q6NWF1;F1RB41;F1Q9B3;E7F2C5,ZERO,A0A024R871;O95528;Q9UGQ3;Q96QE2;Q8TD20,A0A024R871,P30605;P25596;P40886;P47185;P39924;P50080;P33335;P43562;P32466;P53631;Q04162;P39004;Q08299;Q03263;P54862;P13181;P10870;P38358;P32467;P25594;P0CE00;P43581;P39932;P53048;P36173;Q12407;Q2V2P9;P36172;P40885;P0C5L9;P54854;Q04301;Q6B108;P39003;P38695;P42833;Q12300;P32465;Q12273;Q8TGK4;P23585,P10870,Q09752;O42922;Q9P3U7;O59726;Q10072;P87110;B5BP47;O74849;Q8TFG1;Q9HE13;Q92339;O59932;Q9P3U6;O74969;P78831;Q10286,ZERO,
KOG0600,7,2,Q9M9T8;Q9MAB4;Q9LSM7;B4G2A7;Q9LFT8;Q9ZVM9;B5X564;Q9LNN0;O82742;Q9FKV9;Q9T0F9;Q9FVT3;Q9C9I9;Q9LR53;Q9CA80;Q8W4P1;F4I114;Q9LQ29,Q8W4P1,Q9TVL3;P46551;Q7YTS5,P46551,O17432;M9PG50,ZERO,Q7T3L5;F1R6Y1;E7F092,ZERO,A0A024R880;A0A024RA85;Q9NYV4,ZERO,Q03957,ZERO,O14098,ZERO,
KOG3380,7,1,B3H6Y2;Q9M117,ZERO,P91167;O61861,O61861,Q9VQD8,ZERO,Q803M7;B0S516;Q6P0D3;Q7ZWH4,ZERO,A0A024R897;O15511,ZERO,P40518,ZERO,Q10316,ZERO,
KOG1752,7,1,Q9M9Y9;O82255;O04341;O23417;Q8L9S3;Q9LYC5;Q84TF4;Q8GWS0;Q8LBS4;Q9LIF1;Q9SGP6;Q9LYC8;O23421;Q29PZ1;Q9FVX1;Q8LFQ6;O82254;Q9SA68;Q8L8Z8;Q8LF89;Q96305;Q9LYC6;O23420;Q9FNE2;Q6NLU2;O23419;Q8L8T2,Q8LF89;Q96305,Q9N456;Q7YTG3;O45322;Q3Y400;Q19297;Q9N4P2,ZERO,Q9W2D1;Q9VVT6,ZERO,F2Z4U4;Q7T2C8;F1QLM7,ZERO,A0A024RAM2;H0YBQ0;Q16881;Q9NS18,ZERO,P25373;Q12498;P17695;Q05926;P38068;Q12438,ZERO,Q9UTI2;O36032;Q9Y7N3,ZERO,
KOG2848,7,1,Q8GXU8,Q8GXU8,Q93841,ZERO,Q8T9K7;Q9VYJ4,ZERO,A0JMM2,ZERO,A0A024R8I7;A0A024RCV5,ZERO,P33333,ZERO,Q9US20,ZERO,
KOG0190,7,2,Q9FF55;Q8VX13;Q9SRG3;Q66GQ3;Q9XI01;Q94F09;Q9LZN9;A3KPF5,Q9XI01,P34329;H2FLL2,P34329,P54399;Q95T75,ZERO,B0S564;F1QTX8;Q1ECX9;B8A5M6;F1QP99;F1QUR3;F1QI33;F1R1T5,ZERO,A0A024R8S5;A0A090N8Y2;Q13087;Q6PKC3;V9HVY3,ZERO,P17967;P32474,ZERO,Q10057,ZERO,
KOG0327,7,3,Q8W4E1;Q3E9C3;Q9CAI7;P41377;P41376,Q8W4E1,Q20935,Q20935,Q9VHS8;C9QP42,Q9VHS8,F1QH34;Q7ZU67;F1R166;Q802C9,ZERO,A0A024R8W0;P60842;Q14240,ZERO,Q12099;P10081,ZERO,Q10055;P47943,ZERO,
KOG0594,7,6,Q9LZV4;P25859;O80345;Q8LG64;Q2V419;P24100;Q8LF80;Q9S713;Q9LV04,P25859;P24100,O61847;G5ECH7;Q9XTR1;H2L0S7,O61847;G5ECH7;Q9XTR1,P23572;Q7K306;Q7KM04;P23573;P48609,P23572,E7F9R5;A8WG02;E7F5L4;Q7ZWB1;Q7T3L7;E9QFH2;Q5RHX9;F1RDQ7;Q9DE44;B0UYG3;E7FCF2;Q1RLU9,ZERO,A0A024R980;A0A024RB77;A0A024RBB6;A0A024RBH0;A0A090N7W4;P06493;Q00534;Q00536;Q96Q40;O94921,P06493;Q00536,P00546;P43568;P17157,P00546;P43568,P04551;O74456;P36615,P04551;P36615,
KOG0335,7,3,Q84W89;Q8LA13;Q9M2F9,ZERO,P34689;Q966L9;Q23080,P34689;Q966L9,A0A0B4KGU4,ZERO,F1QES3;B0S6P6;F1RCB2,F1QES3,A0A024R9A4;Q9NQI0;O00571,Q9NQI0,P06634;Q3E751;P53166,ZERO,O13370,ZERO,
KOG1273,7,2,Q5E915,Q5E915,Q09309,Q09309,Q9VPH8,ZERO,F1QST7,ZERO,A0A024R9B5,ZERO,P39706,ZERO,O42858,ZERO,
KOG0725,7,2,Q94K41;Q9FK50;Q9ZW12;O80714;Q9ZW04;Q9SQR2;F4J2Z7;Q0WNB1;Q9ZW14;Q9LW35;Q9LW34;Q9LTV6;Q9ZW18;F4J300;Q9ZW19;Q67Z59;Q9LX78;Q9SH24;F4IKM1;Q9SGI2;Q42182;Q9SCU0;Q9SY73;Q9ZW13;Q9SVQ9;Q9LHT0;Q8RX32;Q9ZW15;Q9SQR4;F4IPI3;O80711;Q9ZW03;Q93ZA0;Q9ZR17;P0DKI3;Q9ZW16;Q9SXD6;Q9XE46;Q9M1K9;Q9S9W2;F4I386;Q9C826;Q9MA93;Q9ZW20;Q94AL3;F4J129;Q9FZ42;O49332;O80713,Q9M1K9,Q9N5G1;O16971;Q93761;Q23116;Q19108;Q18946;Q23612;Q17726;O17574;O16764;O16619;O16995;Q22230;G5EGA6;Q9N5G2;Q9N5G3;Q9N5G4;Q19890;O16969;Q1EPL7;Q9N3S2;Q19774;G5ECL7;B4DCT0;O45236,ZERO,Q8IGG7;Q9VNF4;Q9VRJ4;Q9VB10;Q9VNF3;Q9U1L2;Q8SX57,ZERO,Q567C7;Q6GQN9;Q6DEH9;F1Q8N0;Q561X9;F1QB21;Q6P5L8;Q6NV34;Q5BLE6,ZERO,A0A024R9D7;A0A024RDG9;Q13268;Q6PKH6;Q6YN16;Q96LJ7;Q9BPX1;Q9BTZ2;Q9BY49;Q9NUI1,ZERO,P35731;P32573,P32573,O13908;O74470;O42866;Q9Y6Z9;Q10216,ZERO,
KOG2909,7,1,Q9SDS7,ZERO,Q9XXU9,Q9XXU9,B7YZI0,ZERO,Q5XIY6;F1QPC9;Q7T385,ZERO,A0A024R9I0;Q8NEY4,ZERO,P31412,ZERO,Q9HDW6,ZERO,
KOG2063,7,1,O23136;Q8L5Y0,Q8L5Y0,Q1ZXS5,ZERO,Q9VEA2,ZERO,E7FDE3;F1RCV6;F1QP13,ZERO,A0A024R9L9;Q8WUH2,ZERO,P23643;Q07468,ZERO,O13955;O59796,ZERO,
KOG0034,7,4,Q8LAS7;Q9SUA6;Q9C5P6;Q9LS47;Q7FZF1;Q9FUQ7;O81445;O81223;Q7FRS8;Q8LEM7;Q9LTB8,O81445;Q9LTB8,O16343;Q9N2Y1,ZERO,Q9VNF9;Q24214;M9NFW6;Q9VFQ4;O77424;Q9VG22;Q9VI40,Q24214,Q7T2F7;Q803Y0;Q6NYK0;Q66HZ0;F1Q5E1;E9QG20;Q6P005,ZERO,A0A024R9M9;A0PJX0;O43745;P63098;Q96BS2;Q96LZ3;Q99828,Q96BS2;Q99828,P25296,P25296,Q9UU93,ZERO,
KOG2034,7,1,F4IDS7,ZERO,Q23194,ZERO,Q24314,Q24314,P59015,ZERO,A0A024R9R3,ZERO,P27801,ZERO,O74925,ZERO,
KOG0388,7,1,Q8RXS6,ZERO,Q9NEL2,Q9NEL2,Q9VDY1;Q9VDX4,ZERO,F1Q5B4,ZERO,A0A024R9R7,ZERO,P53115;Q05471,ZERO,O13682;O14148,ZERO,
KOG4032,7,1,Q6AWV8;Q8L9R4,ZERO,Q2HQJ8,Q2HQJ8,Q9VBI0,ZERO,F1QR86,ZERO,A0A024R9U9,ZERO,Q06672,ZERO,Q9UUA9,ZERO,
KOG1282,7,1,Q9M9Q6;Q8L9Y0;Q9CAU2;Q8S8P0;O81009;Q8L7B2;Q93Y09;Q9C7D6;Q8S8K6;O64810;Q9M099;Q9C7D3;Q9LSV8;Q8VZU3;Q9CAU4;Q9SV04;Q9CAU0;Q9ZQQ0;O64811;Q9LEY1;Q9C7D4;Q9CAU3;Q1PF08;Q9SQX6;Q9C7Z9;Q8VY01;Q8RWJ6;Q56WF8;O23364;Q9SV02;Q9LSM9;Q9ZUG3;Q9FH06;Q84WF0;Q2V465;Q0WPR4;Q949Q7;Q9MAR8;Q8RUW5;Q9FFB0;Q9SFB5;Q0WRX3;Q84W27;P32826;Q9FH05;Q9LXY6;Q9FFB2;Q4PSY2;O04084;Q9CAU1;O82229;Q8H780;Q9C7D2,ZERO,P52714;O76725;K8ESM2;P52716;Q94269;Q09991,ZERO,Q9VDT5;Q8IP31,ZERO,Q7ZU43;F1QKN4;F1QYP6;F1QAV1,ZERO,A0A024RA40;X6R8A1,ZERO,P38109;P09620;P00729,ZERO,P32825;O13849;O60123,P32825,
KOG4400,7,1,Q9FG62;Q8GXC5;Q9M241;Q9FYD1;Q9M1L9;Q9FHC2;Q9SKG2,ZERO,P91223,P91223,A0A0B4JD46;Q9VVA9,ZERO,E7FCQ0;F1QE26;F1QLY2;F1Q6Z5;F1QY69,ZERO,A0A024RAL5;P62633;Q8WW36;Q8WYQ9,ZERO,P40507;P53849;Q12476,ZERO,Q9HFF2;Q9P795;P36627,ZERO,
KOG2023,7,1,Q9ZVW7;Q8H0U4,ZERO,O62332,O62332,Q9VRV9;Q8SX88,ZERO,E7F8W6;E7F948;Q68EK8;F1RDR1,ZERO,A0A024RAM0;O14787,ZERO,P38217,ZERO,O14089,ZERO,
KOG1654,7,1,Q8S925;Q9LZZ9;Q9XEB5;Q9LRP7;Q8S927;Q8VYK7;Q8LEM4;Q9SL04;Q8S926,ZERO,Q23536,ZERO,Q9W2S2;Q9VEG5,ZERO,Q6NX90;Q7ZWC0;Q7ZUD8;Q6PSS4;Q6TH05;Q6DH82;E7F4Z9;F1QY33,ZERO,A0A024RAP5;P60520;Q658J6;Q6IAW1;Q9H492;Q9BXW4,ZERO,P38182,ZERO,O94272,O94272,
KOG0330,7,1,Q8GY84,ZERO,P34580,P34580,Q9VIF6,ZERO,Q5RGB7;F1R1J8;F1RAR3;F1R080,ZERO,A0A024RAS3;Q9NUL7;Q9Y6V7,ZERO,P38712,ZERO,Q9P6N8,ZERO,
KOG0351,7,3,Q9FT73;Q8L840;Q9FT72;Q9FT74;Q0WVW7;Q9FT69;Q9FT70,ZERO,Q9TXJ8;O18017;Q19546,O18017,Q9VSE6;Q9VGI8,Q9VGI8,E9QGF6;F1Q4T3;E7EZY7;E7F8R0,ZERO,A0A024RAV2;P54132;Q14191,ZERO,P35187,P35187,Q1RKN3;G2TRN7;Q09811;P0CT33,ZERO,
KOG3343,7,1,Q940S5;Q84LG4;Q8H1F4,ZERO,O17901,O17901,Q9VV89,ZERO,F1QFP1;F1Q600,ZERO,A0A024RB72,ZERO,P53600,ZERO,O74891,ZERO,
KOG2151,7,1,Q0WP31;Q9C5C5;Q9FPW4,ZERO,H2L031,ZERO,Q94547;Q9V3I9,ZERO,A4QN63,ZERO,A0A024RBD8,ZERO,P06100,P06100,P87240,ZERO,
KOG0869,7,1,O23310;Q8VYK4;Q9FGJ3;Q67XJ2;O04027;Q9SIT9;Q9SFD8;Q84W66;O82248;Q9SLG0,Q9SFD8,O17286,ZERO,Q8ST61,ZERO,F6P9N2;Q561X4,ZERO,A0A024RBG7,ZERO,P13434,ZERO,P36611,ZERO,
KOG0942,7,1,Q8RWB8,ZERO,O17736;Q9XXE6,O17736,M9PEV2;Q9W196,ZERO,A2BGM8;Q1LY19,ZERO,A0A024RBI2;Q15386,ZERO,P53119,ZERO,Q1K9C4,ZERO,
KOG1250,7,1,Q9ZSS6,ZERO,Q95XY8;Q93968,Q95XY8,Q9VHF0,ZERO,H0WEF6;E7EYC0;F1R8A0,ZERO,A0A024RBL2;P20132;Q9GZT4,ZERO,P25379;P36007;P00927,ZERO,O59791;O94634,ZERO,
KOG0585,7,1,Q5HZ38;Q93V58,ZERO,Q3Y416,ZERO,M9PGA6,ZERO,F1QJQ4;A2BIP2;H9GYD7;E7FEF7,ZERO,A0A024RBQ0;Q8N5S9,ZERO,P32801;P43637;P38990,P32801,P50526;Q9UU87,ZERO,
KOG3014,7,1,A7UL74,A7UL74,Q19206,ZERO,Q9VS50,ZERO,E7FA81;Q5SPR8,ZERO,A0A024RC19;Q56NI9,ZERO,P43605,ZERO,O42917,ZERO,
KOG2095,7,1,Q8H2D5,ZERO,G5EFY1,G5EFY1,Q9VHV1;Q9GNC0,ZERO,A2CEB0;F1Q7Z9,ZERO,A0A024RD62;Q9UNA4,ZERO,Q04049,ZERO,NONE,NONE,
KOG3000,7,1,Q9FJJ5;Q9FGQ6;Q7XJ60,ZERO,Q9GRZ0,ZERO,Q9W2W2;A1ZBF1;Q8IQA0;Q8IPI4;A1Z6P3;Q9VQX0,ZERO,E7F5C5;A7MC00;B0S585;Q4V903,ZERO,A0A024RC33;Q9UPY8;Q15691,ZERO,P40013,ZERO,Q10113,Q10113,
KOG2669,7,1,Q8GUK8;Q66GK1;Q9FJP7,ZERO,P34281;A5Z2V1,ZERO,Q8SX50;X2JEK7,ZERO,E7F882;F1Q4R4;Q7ZUK9;Q1LXW2,ZERO,A0A024RC37;Q9NQG5;Q5VT52,ZERO,Q05543,ZERO,O74814,O74814,
KOG1046,7,2,Q8VZH2;Q8H0S9,ZERO,Q9XVV9;G5EGH4;Q9NAA0;A5A631;Q9U2H2;Q4TT88;P46557;H2L0M5;Q22317;Q21673;Q22531,Q22531,Q8IHC5;Q8INH6;Q8T034;Q9VJN2;Q7PLV6;Q9VFX0;Q9VCP4;Q9VTL4;D0IQM1;Q9W2S7;Q9W2S8;Q9VAP0;Q8IN25;Q8MZ08;Q8SWX4;Q8MRN5;A8JRG0;Q95SR0;Q0KI00;Q7KML3,ZERO,E7F9Z3;F1Q5Y3;E7F2N2;Q1LWJ7;F1RBG1;E7F123;F1Q6U5;B8JIB4;F1QRM9;E9QIR0;A2BGR0;F1QVP2;E7EYZ6;E7FDR9,ZERO,A0A024RC61;A0A0A6YYA2;Q9UIQ6;P55786;Q6P179;Q9UKU6;Q07075;Q9NZ08,Q9UIQ6,P40462;P32454;P37898,ZERO,Q9USX1,ZERO,
